Topic_Number,Topic_Label,Total_Papers,First_Year,Last_Year,Peak_Year,Peak_Count,Early_Period_Papers,Mid_Period_Papers,Recent_Period_Papers,Recent_Percentage,Average_Citations
0,Blockchain-Based Digital Finance,289,2016,2026,2024,50,54,0,0,0,21.75432525951557
1,Blockchain and Cryptocurrency Research Topic Label:,83,2017,2025,2025,22,10,0,0,0,26.14457831325301
2,Fintech Innovation and Decentralization: A Study of Blockchain and AI's Impact on Financial Services,83,2020,2026,2025,28,0,0,0,0,7.265060240963855
3,Decentralized Finance (DeFi): A Literature Review,60,2015,2026,2021,16,10,0,0,0,28.683333333333334
4,ICO Fundraising & Tokenomics,49,2017,2026,2024,14,3,0,0,0,7.122448979591836
5,Cryptocurrency Market Volatility Prediction and Risk Analysis,48,2018,2026,2025,22,1,0,0,0,6.375
6,Cryptocurrency Fraud Detection using Blockchain Graph Analysis,47,2018,2026,2024,11,9,0,0,0,9.702127659574469
7,"Certainly! Based on the provided information, here is a short, descriptive label for the research topic:",29,2018,2025,2023,7,4,0,0,0,5.9655172413793105
8,Crowdfunding and Blockchain Technologies for Entrepreneurial Ventures,28,2019,2025,2025,7,2,0,0,0,44.535714285714285
9,Cryptocurrency Adoption and Acceptance,25,2017,2025,2024,5,6,0,0,0,6.76
10,"Certainly! Based on the provided information, here is a short, descriptive label for the research topic:",21,2018,2025,2024,5,6,0,0,0,6.285714285714286
